Nama Pekerjaan,Perusahaan,Lokasi,Gaji,Deskripsi Pekerjaan,Kategori Minat,Kemampuan Dibutuhkan,Kondisi Kesehatan,Posisi,Kualifikasi,Minimal Pengalaman,Tipe Pekerjaan
Asisten Dapur,PT Roti Nusantara,Jakarta,Rp 2.500.000,Membantu koki menyiapkan bahan masakan dan menjaga kebersihan area dapur.,Memasak,"Mengikuti langkah-langkah sederhana, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Petugas Kebun,Taman Kota Mandiri,Bandung,Rp 2.000.000,"Merawat tanaman, menyiram bunga, dan menjaga kebersihan taman.",Berkebun,"Menggunakan alat sederhana, Ketelitian, Koordinasi tangan dan mata",Tidak cocok di suhu panas,Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Operator Komputer,PT Digital Jaya,Surabaya,Rp 3.000.000,Mengoperasikan komputer untuk tugas-tugas sederhana seperti mengetik dan pengarsipan.,Teknologi dasar,"Mengetik, Membaca dasar, Kreativitas",Membutuhkan lingkungan kerja tenang,Operator Komputer,Lulusan SMA/SMK,0-2 tahun,Full-time
Pembersih Ruangan,PT Bersih Sejahtera,Yogyakarta,Rp 2.200.000,Membersihkan ruangan kerja dan menjaga kebersihan kantor.,Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak boleh mengangkat beban berat, Tidak alergi bahan kimia tertentu",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Fotografer Pemula,Studio Kreatif Nusantara,Denpasar,Rp 3.500.000,Mengambil foto sederhana dan membantu pengeditan dasar.,"Fotografi, Seni","Kreativitas, Mendengarkan instruksi, Pemecahan masalah sederhana","Membutuhkan lingkungan kerja tenang, Tidak sensitif terhadap cahaya terang",Staff,Lulusan SMA/SMK,1 tahun,Full-time
Perancang Kerajinan,Sanggar Kerajinan Daerah,Solo,Rp 2.800.000,Membantu pembuatan kerajinan seperti anyaman dan dekorasi.,"Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kesabaran","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Penjaga Perpustakaan,Perpustakaan Nasional,Malang,Rp 2.600.000,"Menata buku, membantu pengunjung, dan menjaga kebersihan perpustakaan.","Membaca cerita, Lingkungan dan alam","Membaca dasar, Menulis sederhana, Berbicara dengan orang lain","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja tenang",Staff,Lulusan SMP/SMK,0-2 tahun,Full-time
Asisten Toko Roti,Toko Roti Manis,Semarang,Rp 2.700.000,"Menyiapkan bahan roti, memanggang, dan melayani pelanggan.",Memasak,"Mengikuti instruksi, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Staf Roti,Lulusan SMA/SMK,0-1 tahun,Full-time
Petugas Museum,Museum Nasional Indonesia,Medan,Rp 2.300.000,Membersihkan area pameran dan memastikan kebersihan fasilitas museum.,Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak alergi bahan kimia tertentu, Tidak boleh mengangkat beban berat",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Desain Grafis,Studio Kreatif Nusantara,Jakarta,Rp 3.200.000,Membantu membuat desain sederhana menggunakan komputer.,"Teknologi dasar, Seni","Kreativitas, Pemecahan masalah sederhana, Mengetik","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu panas",Asisten Desain,Lulusan SMA/SMK,1 tahun,Full-time
Penjaga Kebun Binatang,Kebun Binatang Lokal,Surabaya,Rp 2.800.000,"Merawat hewan, memberi makan, dan menjaga kebersihan kandang.","Merawat hewan, Lingkungan dan alam","Menggunakan alat sederhana, Kesabaran, Koordinasi tangan dan mata","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Penjahit,Konveksi Nusantara,Solo,Rp 2.500.000,"Membantu penjahit dalam menyiapkan pola, menjahit, atau merapikan kain.","Seni, Kerajinan tangan","Ketelitian, Kreativitas, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengasuh Hewan,Pet Shop Sejahtera,Jakarta,Rp 2.300.000,"Memberi makan, memandikan, dan merawat hewan kecil seperti kucing atau anjing.",Merawat hewan,"Kesabaran, Kerja tim, Ketahanan fisik ringan","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja tenang",Staff,Lulusan SMA/SMK,0-2 tahun,Part-time
Staf Administrasi,PT Administrasi Jaya,Yogyakarta,Rp 3.000.000,"Membantu pengarsipan dokumen, mengetik laporan, dan menjaga kerapihan administrasi.",Teknologi dasar,"Mengetik, Mengatur waktu, Membaca dasar","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu panas",Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Produksi,PT Produksi Kreatif,Bandung,Rp 2.700.000,Membantu proses produksi seperti merakit barang dan memeriksa kualitas produk.,"Seni, Kerajinan tangan","Ketelitian, Koordinasi tangan dan mata","Membutuhkan istirahat berkala, Tidak alergi bahan kimia tertentu",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Pemandu Wisata Lokal,Wisata Sejarah Nusantara,Malang,Rp 3.200.000,"Memandu pengunjung dalam tur lokal, menjelaskan informasi sejarah, dan menjaga pengalaman yang baik.","Lingkungan dan alam, Seni","Berbicara dengan orang lain, Mendengarkan instruksi, Kreativitas","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja bebas tekanan",Staff,Lulusan SMA/SMK,1 tahun,Full-time
Asisten Toko Perlengkapan,Toko Perlengkapan Rumah,Medan,Rp 2.400.000,"Membantu pelanggan memilih barang, menjaga kebersihan toko, dan mengatur barang di rak.",Teknologi dasar,"Berbicara dengan orang lain, Menjaga kebersihan, Ketelitian",Membutuhkan lingkungan kerja tenang,Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Pengelola Media Sosial,PT Media Kreatif,Jakarta,Rp 3.500.000,"Membantu membuat konten untuk media sosial, menjawab pertanyaan pelanggan, dan mengatur postingan.","Teknologi dasar, Seni","Mengetik, Kreativitas, Mengatur waktu","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu panas",Staff,Lulusan SMA/SMK,0-2 tahun,Full-time
Pembersih Fasilitas Umum,PT Bersih Sejahtera,Bandung,Rp 2.100.000,"Membersihkan area publik seperti taman, ruang tunggu, dan toilet.",Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak cocok di suhu panas, Tidak boleh mengangkat beban berat",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Lab,Laboratorium Nusantara,Denpasar,Rp 3.000.000,"Membantu menyiapkan alat laboratorium, mencatat data, dan menjaga kebersihan alat.",Teknologi dasar,"Ketelitian, Koordinasi tangan dan mata, Pemecahan masalah sederhana","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja tenang",Asisten,Lulusan SMA/SMK,0-1 tahun,Full-time
Barista,Kedai Kopi Nusantara,Jakarta,Rp 3.000.000,"Menyajikan kopi, melayani pelanggan, dan menjaga kebersihan area bar.",Memasak,"Mengikuti instruksi, Berbicara dengan orang lain, Menjaga kebersihan","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja tenang",Staff,Lulusan SMA/SMK,0-2 tahun,Full-time
Penata Taman,PT Green World,Bandung,Rp 2.500.000,"Menata bunga dan tanaman hias, serta menjaga estetika taman.","Berkebun, Seni","Menggunakan alat sederhana, Kreativitas, Koordinasi tangan dan mata","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Staff,Lulusan SMA/SMK,0-1 tahun,Part-time
Asisten Fotografer,Studio Kreatif Terbaik,Surabaya,Rp 3.200.000,"Membantu fotografer mengatur pencahayaan, peralatan, dan membantu pengeditan dasar.","Fotografi, Seni","Kreativitas, Mendengarkan instruksi, Ketelitian",Membutuhkan lingkungan kerja tenang,Asisten,Lulusan SMA/SMK,0-1 tahun,Full-time
Pelayan Restoran,Restoran Nusantara,Jakarta,Rp 2.800.000,"Melayani tamu restoran, mengantarkan pesanan, dan membersihkan meja.","Memasak, Sosial","Berbicara dengan orang lain, Ketahanan fisik ringan, Menjaga kebersihan","Tidak boleh berdiri terlalu lama, Membutuhkan istirahat berkala",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Staf Peralatan,Toko Peralatan Kreatif,Medan,Rp 2.700.000,"Membantu pelanggan memilih alat, menjaga stok barang, dan menata peralatan di toko.",Teknologi dasar,"Mengetik, Koordinasi tangan dan mata, Ketelitian",Membutuhkan lingkungan kerja tenang,Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Pemandu Museum,Museum Budaya Nusantara,Malang,Rp 3.000.000,"Membimbing pengunjung museum, memberikan informasi tentang koleksi, dan menjaga area pameran.","Seni, Lingkungan dan alam","Berbicara dengan orang lain, Kreativitas, Kesabaran",Membutuhkan lingkungan kerja tenang,Staff,Lulusan SMA/SMK,0-2 tahun,Full-time
Tukang Roti,Toko Roti Tradisional,Solo,Rp 2.500.000,"Membuat adonan, memanggang roti, dan memastikan kualitas produk.",Memasak,"Ketelitian, Kreativitas, Mengikuti langkah-langkah sederhana",Tidak alergi bahan kimia tertentu,Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Staf Gudang,PT Logistik Nusantara,Bandung,Rp 2.200.000,"Membantu menyusun barang, mengemas produk, dan menjaga kebersihan gudang.",Lingkungan dan alam,"Menggunakan alat sederhana, Ketelitian, Koordinasi tangan dan mata","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Staff,Lulusan SMA/SMK,0-2 tahun,Full-time
Desainer Ilustrasi,Studio Seni Kreatif,Jakarta,Rp 3.500.000,Membuat ilustrasi digital sederhana untuk buku atau media lainnya.,"Seni, Teknologi dasar","Kreativitas, Ketelitian, Pemecahan masalah sederhana",Membutuhkan lingkungan kerja tenang,Desainer Ilustrasi,Lulusan SMA/SMK,0-1 tahun,Full-time
Penjaga Kandang Ternak,Peternakan Sejahtera,Yogyakarta,Rp 2.400.000,"Merawat hewan ternak, memberi makan, dan menjaga kebersihan kandang.","Merawat hewan, Lingkungan dan alam","Kesabaran, Ketahanan fisik ringan, Mengikuti instruksi sederhana","Tidak cocok di suhu panas, Tidak boleh berdiri terlalu lama",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Dapur Resto,Restoran Sederhana,Denpasar,Rp 2.700.000,"Membantu koki memasak hidangan, mencuci peralatan masak, dan menjaga kebersihan dapur.",Memasak,"Menjaga kebersihan, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja tenang",Asisten Dapur,Lulusan SMP/SMK,0-1 tahun,Full-time
Perakit Produk Elektronik,PT Elektronik Nusantara,Surabaya,Rp 3.200.000,Merakit komponen elektronik sederhana seperti lampu atau speaker.,Teknologi dasar,"Ketelitian, Koordinasi tangan dan mata, Kreativitas",Membutuhkan lingkungan kerja tenang,Operator,Lulusan SMA/SMK,0-2 tahun,Full-time
Asisten Pemasaran,PT Pemasaran Kreatif,Solo,Rp 3.000.000,Membantu tim pemasaran dalam membuat materi promosi dan mendata pelanggan.,"Seni, Teknologi dasar","Mengetik, Mengatur waktu, Kreativitas",Membutuhkan lingkungan kerja tenang,Staff,Lulusan SMA/SMK,0-1 tahun,Part-time
Penata Meja,Restoran Elegan Nusantara,Jakarta,Rp 2.600.000,"Menata meja untuk tamu, menjaga kebersihan area makan, dan membantu menyusun peralatan.","Seni, Lingkungan dan alam","Kreativitas, Menjaga kebersihan, Kesabaran","Tidak cocok di suhu panas, Membutuhkan lingkungan kerja tenang",Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Petugas Laundry,PT Laundry Sejahtera,Medan,Rp 2.200.000,"Mencuci pakaian, menyetrika, dan melipat dengan rapi.","Lingkungan dan alam, Teknologi dasar","Ketelitian, Kerja tim, Koordinasi tangan dan mata","Tidak boleh berdiri terlalu lama, Membutuhkan istirahat berkala",Petugas Laundry,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Taman Bermain,Taman Bermain Anak Nusantara,Malang,Rp 2.700.000,"Mengawasi anak-anak bermain, menjaga keamanan area, dan membantu anak saat bermain.","Lingkungan dan alam, Sosial","Kesabaran, Berbicara dengan orang lain, Kreativitas",Membutuhkan istirahat berkala,Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Perajin Batu,Studio Batu Nusantara,Bandung,Rp 3.000.000,Membantu membuat kerajinan dari batu sederhana seperti patung kecil dan hiasan meja.,"Seni, Kerajinan tangan","Ketelitian, Kreativitas, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Asisten Perajin Batu,Lulusan SMA/SMK,0-1 tahun,Part-time
Teknisi Komputer,PT Komputer Jaya,Denpasar,Rp 3.500.000,Memperbaiki perangkat keras sederhana seperti keyboard atau monitor.,Teknologi dasar,"Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Komputer,Lulusan SMA/SMK,0-2 tahun,Full-time
Pembersih Kolam Renang,PT Kolam Bersih Nusantara,Solo,Rp 2.300.000,"Membersihkan kolam renang, menjaga kualitas air, dan memeriksa kebersihan area sekitar.",Lingkungan dan alam,"Ketahanan fisik ringan, Menjaga kebersihan, Ketelitian","Tidak cocok di suhu panas, Tidak boleh berdiri terlalu lama",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Penjaga Taman,PT Hijau Sejahtera,Jakarta,Rp 2.500.000,"Menjaga kebersihan taman, merawat bunga, dan menyiram tanaman.","Lingkungan dan alam, Berkebun","Kesabaran, Koordinasi tangan dan mata, Menjaga kebersihan",Tidak cocok di suhu panas,Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Barista,Kopi Nusantara Tradisional,Bandung,Rp 3.200.000,"Membuat minuman kopi dan teh sederhana, melayani pelanggan, dan membersihkan area kerja.","Memasak, Sosial","Mengikuti langkah sederhana, Berbicara dengan orang lain, Ketelitian",Tidak alergi bahan kimia tertentu,Barista,Lulusan SMA/SMK,0-1 tahun,Part-time
Asisten Penjahit Pakaian,Konveksi Tradisi Sejahtera,Surabaya,Rp 2.700.000,"Membantu menjahit pakaian, memotong kain, dan membersihkan area kerja.","Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kesabaran",Membutuhkan lingkungan kerja tenang,Asisten,Lulusan SMP/SMK,0-1 tahun,Full-time
Pekerja Roti Tradisional,Roti Klasik Nusantara,Yogyakarta,Rp 2.800.000,"Membuat roti tradisional, menyiapkan bahan, dan memanggang.",Memasak,"Ketelitian, Mengikuti langkah-langkah sederhana, Kreativitas",Tidak alergi bahan kimia tertentu,Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Alat Musik,Toko Musik Harmoni,Medan,Rp 3.000.000,Memperbaiki alat musik sederhana seperti gitar dan keyboard.,"Musik, Seni","Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi,Lulusan SMA/SMK,0-2 tahun,Full-time
Staf Pembersih Gedung,PT Bersih Bangunan Mandiri,Solo,Rp 2.400.000,"Membersihkan area gedung, menyapu, mengepel, dan membuang sampah.",Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Ketahanan fisik ringan","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Penjaga Stand Makanan,Pasar Makanan Tradisional,Jakarta,Rp 2.500.000,"Menata makanan, melayani pembeli, dan menjaga kebersihan stand.","Memasak, Sosial","Berbicara dengan orang lain, Menjaga kebersihan, Ketelitian","Tidak alergi bahan kimia tertentu, Tidak boleh berdiri terlalu lama",Penjaga Stand Makanan,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Fotografi Produk,Studio Produk Nusantara,Bandung,Rp 3.200.000,"Mengatur peralatan, pencahayaan, dan membantu pengeditan sederhana untuk fotografi produk.","Fotografi, Teknologi dasar","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten ,Lulusan SMA/SMK,0-1 tahun,Part-time
Perakit Mainan Anak,PT Mainan Kreatif,Surabaya,Rp 2.800.000,Merakit mainan anak sederhana seperti puzzle dan boneka.,"Seni, Kerajinan tangan","Ketelitian, Koordinasi tangan dan mata, Kreativitas",Membutuhkan lingkungan kerja tenang,Perakit Mainan Anak,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Keamanan Mall,PT Keamanan Mandiri,Yogyakarta,Rp 2.900.000,"Memantau area mall, membantu pengunjung, dan menjaga keamanan.","Lingkungan dan alam, Sosial","Kesabaran, Berbicara dengan orang lain, Mengikuti instruksi","Tidak cocok di suhu panas, Tidak boleh berdiri terlalu lama",Staf Keamanan,Lulusan SMP/SMK,0-1 tahun,Full-time
Perajin Kayu,Sanggar Kayu Tradisional,Medan,Rp 3.000.000,Membuat kerajinan kayu seperti patung kecil atau bingkai.,"Kerajinan tangan, Seni","Ketelitian, Kreativitas, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Kayu,Lulusan SMA/SMK,0-1 tahun,Full-time
Pemandu Acara Anak,Taman Bermain Sejahtera,Solo,Rp 2.600.000,Membimbing anak-anak dalam aktivitas permainan dan memberikan hiburan sederhana.,"Menari, Sosial","Kreativitas, Berbicara dengan orang lain, Kesabaran","Membutuhkan lingkungan kerja tenang, Membutuhkan istirahat berkala",Pemandu Acara Anak,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Audio,PT Teknologi Harmoni,Jakarta,Rp 3.200.000,Memasang dan memperbaiki perangkat audio sederhana seperti speaker dan mikrofon.,"Musik, Teknologi dasar","Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Audio,Lulusan SMA/SMK,0-2 tahun,Full-time
Staf Penyortir Barang,Gudang Klasik Nusantara,Bandung,Rp 2.500.000,"Menyortir barang, memeriksa kualitas, dan menjaga kerapian stok di gudang.","Lingkungan dan alam, Teknologi dasar","Menjaga kebersihan, Ketelitian, Koordinasi tangan dan mata","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Penulis Konten Sederhana,Studio Kreatif Nusantara,Surabaya,Rp 3.000.000,"Membuat artikel sederhana, membantu menulis konten untuk media sosial atau blog.","Teknologi dasar, Seni","Menulis sederhana, Kreativitas, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Penulis Konten,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Manajemen Data,PT Data Kreatif,Yogyakarta,Rp 3.200.000,"Membantu mengolah data sederhana, menginput informasi, dan menjaga kerapihan dokumen.",Teknologi dasar,"Mengetik, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Asisten Manajemen Data,Lulusan SMA/SMK,0-1 tahun,Full-time
Pengatur Meja Dekorasi,Dekorasi Tradisional Mandiri,Medan,Rp 2.800.000,Menata meja dengan hiasan dekorasi tradisional untuk acara pernikahan atau festival.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu panas",Staff Dekorasi,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Pengolah Data,PT Teknologi Data,Solo,Rp 3.500.000,Membantu mengolah data sederhana menggunakan komputer.,Teknologi dasar,"Mengetik, Kreativitas, Pemecahan masalah sederhana",Membutuhkan lingkungan kerja tenang,Asisten Pengolah Data,Lulusan SMA/SMK,0-1 tahun,Full-time
Tukang Kayu,Bengkel Kayu Nusantara,Jakarta,Rp 3.200.000,Membuat furnitur sederhana seperti kursi dan meja kecil.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Kayu,Lulusan SMA/SMK,0-2 tahun,Full-time
Tukang Kebun,PT Hijau Nusantara,Jakarta,Rp 2.200.000,"Merawat tanaman, memangkas rumput, dan menjaga kebersihan taman.","Berkebun, Lingkungan dan alam","Menggunakan alat sederhana, Ketelitian, Kesabaran",Tidak cocok di suhu panas,Tukang Kebun,Lulusan SMP/SMK,0-1 tahun,Part-time
Teknisi Komputer Dasar,PT Teknologi Sejahtera,Bandung,Rp 3.200.000,"Memperbaiki komputer, mengganti komponen kecil, dan membantu troubleshooting sederhana.",Teknologi dasar,"Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Komputer Dasar,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Barista,Kedai Kopi Kreatif,Surabaya,Rp 2.800.000,"Membantu barista menyiapkan kopi, menjaga kebersihan area, dan melayani pelanggan.","Memasak, Sosial","Berbicara dengan orang lain, Ketelitian, Mengikuti instruksi sederhana","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Barista Asisten,Lulusan SMP/SMK,0-1 tahun,Full-time
Penata Meja Dekorasi,Dekorasi Elegan Nusantara,Solo,Rp 2.700.000,"Menata meja untuk acara resmi, memastikan estetika dan kebersihan area dekorasi.","Seni, Kerajinan tangan","Kreativitas, Menjaga kebersihan, Ketelitian",Membutuhkan lingkungan kerja tenang,Penata Meja Dekorasi,Lulusan SMA/SMK,0-1 tahun,Part-time
Staf Administrasi Gudang,Gudang Nusantara,Jakarta,Rp 3.000.000,"Membantu pengarsipan barang masuk dan keluar, serta menjaga catatan dokumen dengan rapi.","Teknologi dasar, Lingkungan dan alam","Mengetik, Ketelitian, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Staf Administrasi Gudang,Lulusan SMA/SMK,0-1 tahun,Full-time
Tukang Roti Tradisional,Roti Klasik Nusantara,Bandung,Rp 2.600.000,"Membuat roti tradisional, mengatur bahan, dan memanggang.",Memasak,"Mengikuti langkah sederhana, Kreativitas, Ketelitian",Tidak alergi bahan kimia tertentu,Staf Roti Tradisional,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengasuh Anak,Taman Bermain Nusantara,Medan,Rp 2.900.000,"Mengawasi anak-anak bermain, memberikan hiburan, dan memastikan keamanan area bermain.","Menari, Sosial","Kesabaran, Kreativitas, Berbicara dengan orang lain",Membutuhkan lingkungan kerja tenang,Pengasuh Anak,Lulusan SMA/SMK,0-1 tahun,Part-time
Penulis Artikel,Studio Konten Nusantara,Surabaya,Rp 3.500.000,Menulis artikel sederhana untuk blog atau media sosial.,"Teknologi dasar, Seni","Mengetik, Kreativitas, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Penulis Artikel,Lulusan SMA/SMK,0-2 tahun,Full
Perajin Kerajinan Daun,Sanggar Kreatif Alam,Malang,Rp 2.800.000,Membuat kerajinan tangan dari bahan alami seperti daun kering atau bunga.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Kerajinan Daun,Lulusan SMP/SMK,0-1 tahun,Full-time
Penata Ruang Pameran,Galeri Seni Nusantara,Yogyakarta,Rp 3.200.000,"Menata ruang pameran seni, memastikan kebersihan, dan menjaga estetika ruangan.","Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Ruang Pameran,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Produksi,PT Produksi Mandiri,Jakarta,Rp 2.700.000,Membantu proses produksi barang sederhana seperti mengemas atau menyortir barang.,"Seni, Lingkungan dan alam","Menjaga kebersihan, Ketelitian, Koordinasi tangan dan mata","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Asisten Produksi,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengelola Taman Bermain,Taman Bermain Tradisional,Bandung,Rp 3.000.000,"Mengawasi area taman bermain, membantu pengunjung, dan menjaga fasilitas tetap aman.","Lingkungan dan alam, Sosial","Kesabaran, Berbicara dengan orang lain, Kreativitas",Membutuhkan lingkungan kerja tenang,Pengelola Taman Bermain,Lulusan SMA/SMK,0-1 tahun,Part-time
Tukang Batu Tradisional,Studio Batu Nusantara,Solo,Rp 2.800.000,Membuat kerajinan sederhana dari batu seperti patung kecil dan hiasan dinding.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Batu Tradisional,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengatur Rak Buku,Perpustakaan Kota Sejahtera,Medan,Rp 2.400.000,"Menata buku di rak, membantu pengunjung menemukan koleksi, dan menjaga area tetap rapi.","Membaca cerita, Lingkungan dan alam","Menjaga kebersihan, Ketelitian, Kesabaran","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja tenang",Pengatur Rak Buku,Lulusan SMP/SMK,0-1 tahun,Part-time
